Accession	TF	Tissue	Cell	File	CellDeriv	IMPACT_new
GSM1113427	RUNX1	BLOOD	Kasumi-1	PRJNA196162_GSM1113427_RUNX1_peaks.narrowPeak	Myeloid	67
GSM1113428	RUNX1	BLOOD	Kasumi-1	PRJNA196162_GSM1113428_RUNX1_peaks.narrowPeak	Myeloid	67
GSM1113431	RUNX1	BLOOD	Kasumi-1	PRJNA196162_GSM1113431_RUNX1_peaks.narrowPeak	Myeloid	67
GSM1113432	RUNX1	BLOOD	Kasumi-1	PRJNA196162_GSM1113432_RUNX1_peaks.narrowPeak	Myeloid	67
GSM1113437	RUNX1	BLOOD	Kasumi-1	PRJNA196162_GSM1113437_RUNX1_peaks.narrowPeak	Myeloid	67
GSM1113438	RUNX1	BLOOD	Kasumi-1	PRJNA196162_GSM1113438_RUNX1_peaks.narrowPeak	Myeloid	67
GSM722168	GATA3	BLOOD	Jurkat (Clone E6-1)	PRJNA142977_GSM722168_GATA3_peaks.narrowPeak	T cell	68
GSM762707	MYC	BLOOD	RAJI	PRJNA144391_GSM762707_MYC_peaks.narrowPeak	B cell	69
GSM762708	MYC	BLOOD	CA46	PRJNA144391_GSM762708_MYC_peaks.narrowPeak	B cell	70
GSM762709	MYC	BLOOD	BLUE-1	PRJNA144391_GSM762709_MYC_peaks.narrowPeak	Bone marrow	71
GSM762710	MYC	BLOOD	BL-41	PRJNA144391_GSM762710_MYC_peaks.narrowPeak	B cell	72
GSM762711	MYC	BLOOD	RAMOS	PRJNA144391_GSM762711_MYC_peaks.narrowPeak	Lymphocyte	73
GSM791403	VDR	GI	LS-180	PRJNA145015_GSM791403_VDR_peaks.narrowPeak	Colon	74
GSM791404	VDR	GI	LS-180	PRJNA145015_GSM791404_VDR_peaks.narrowPeak	Colon	74
GSM791405	RXRA	GI	LS-180	PRJNA145015_GSM791405_RXRA_peaks.narrowPeak	Colon	75
GSM791406	RXRA	GI	LS-180	PRJNA145015_GSM791406_RXRA_peaks.narrowPeak	Colon	75
GSM791411	CEBPB	GI	LS-180	PRJNA145015_GSM791411_CEBPB_peaks.narrowPeak	Colon	76
GSM791412	CEBPB	GI	LS-180	PRJNA145015_GSM791412_CEBPB_peaks.narrowPeak	Colon	76
GSM791413	CDX2	GI	LS-180	PRJNA145015_GSM791413_CDX2_peaks.narrowPeak	Colon	77
GSM791414	CDX2	GI	LS-180	PRJNA145015_GSM791414_CDX2_peaks.narrowPeak	Colon	77
GSM790207	FLI1	SARCOMA	EWS502	PRJNA145117_GSM790207_FLI1_peaks.narrowPeak	Bone	78
GSM790211	FLI1	VASCULAR	HUVEC	PRJNA145117_GSM790211_FLI1_peaks.narrowPeak	Endothelial	79
GSM785495	SPI1	BLOOD	Monocytes	PRJNA145533_GSM785495_SPI1_peaks.narrowPeak	Monocyte	80
GSM785496	CEBPB	BLOOD	Monocytes	PRJNA145533_GSM785496_CEBPB_peaks.narrowPeak	Monocyte	81
GSM785501	SPI1	BLOOD	Macrophages	PRJNA145533_GSM785501_SPI1_peaks.narrowPeak	Macrophage	82
GSM1146443	SPI1	BLOOD	Macrophages	PRJNA205048_GSM1146443_SPI1_peaks.narrowPeak	Macrophage	82
GSM1146444	SPI1	BLOOD	Macrophages	PRJNA205048_GSM1146444_SPI1_peaks.narrowPeak	Macrophage	82
GSM785502	CEBPB	BLOOD	Macrophages	PRJNA145533_GSM785502_CEBPB_peaks.narrowPeak	Macrophage	83
GSM785503	EGR2	BLOOD	Macrophages	PRJNA145533_GSM785503_EGR2_peaks.narrowPeak	Macrophage	84
GSM785504	EGR2	BLOOD	Macrophages	PRJNA145533_GSM785504_EGR2_peaks.narrowPeak	Macrophage	84
GSM776557	TBX21	BLOOD	Th1 Cells	PRJNA146093_GSM776557_TBX21_peaks.narrowPeak	Th1	85
GSM776558	GATA3	BLOOD	Th1 Cells	PRJNA146093_GSM776558_GATA3_peaks.narrowPeak	Th1	86
GSM776559	GATA3	BLOOD	Th2 Cells	PRJNA146093_GSM776559_GATA3_peaks.narrowPeak	Th2	87
GSM798383	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798383_ESR1_peaks.narrowPeak	Tumor	88
GSM798384	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798384_ESR1_peaks.narrowPeak	Tumor	88
GSM798386	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798386_ESR1_peaks.narrowPeak	Tumor	88
GSM798387	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798387_ESR1_peaks.narrowPeak	Tumor	88
GSM798388	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798388_ESR1_peaks.narrowPeak	Tumor	88
GSM798389	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798389_ESR1_peaks.narrowPeak	Tumor	88
GSM798390	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798390_ESR1_peaks.narrowPeak	Tumor	88
GSM798391	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798391_ESR1_peaks.narrowPeak	Tumor	88
GSM798394	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798394_ESR1_peaks.narrowPeak	Tumor	88
GSM798395	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798395_ESR1_peaks.narrowPeak	Tumor	88
GSM798396	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798396_ESR1_peaks.narrowPeak	Tumor	88
GSM798397	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798397_ESR1_peaks.narrowPeak	Tumor	88
GSM798398	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798398_ESR1_peaks.narrowPeak	Tumor	88
GSM798399	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798399_ESR1_peaks.narrowPeak	Tumor	88
GSM798400	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798400_ESR1_peaks.narrowPeak	Tumor	88
GSM798401	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798401_ESR1_peaks.narrowPeak	Tumor	88
GSM798402	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798402_ESR1_peaks.narrowPeak	Tumor	88
GSM798403	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798403_ESR1_peaks.narrowPeak	Tumor	88
GSM798404	ESR1	BREAST	Tumour tissues	PRJNA147213_GSM798404_ESR1_peaks.narrowPeak	Tumor	88
GSM798426	ESR1	BREAST	ZR-75-1	PRJNA147213_GSM798426_ESR1_peaks.narrowPeak	Breast	89
GSM798427	ESR1	BREAST	ZR-75-1	PRJNA147213_GSM798427_ESR1_peaks.narrowPeak	Breast	89
GSM986089	ESR1	BREAST	ZR-75-1	PRJNA172877_GSM986089_ESR1_peaks.narrowPeak	Breast	89
GSM986090	ESR1	BREAST	ZR-75-1	PRJNA172877_GSM986090_ESR1_peaks.narrowPeak	Breast	89
GSM798430	ESR1	BREAST	BT-474	PRJNA147213_GSM798430_ESR1_peaks.narrowPeak	Breast	90
GSM798431	ESR1	BREAST	BT-474	PRJNA147213_GSM798431_ESR1_peaks.narrowPeak	Breast	90
GSM798436	FOXA1	BREAST	MCF-7	PRJNA147213_GSM798436_FOXA1_peaks.narrowPeak	Breast	91
GSM798437	FOXA1	BREAST	MCF-7	PRJNA147213_GSM798437_FOXA1_peaks.narrowPeak	Breast	91
GSM798438	FOXA1	BREAST	MCF-7	PRJNA147213_GSM798438_FOXA1_peaks.narrowPeak	Breast	91
GSM798439	FOXA1	BREAST	MCF-7	PRJNA147213_GSM798439_FOXA1_peaks.narrowPeak	Breast	91
GSM986065	FOXA1	BREAST	MCF-7	PRJNA172877_GSM986065_FOXA1_peaks.narrowPeak	Breast	91
GSM986066	FOXA1	BREAST	MCF-7	PRJNA172877_GSM986066_FOXA1_peaks.narrowPeak	Breast	91
GSM1534736	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534736_FOXA1_peaks.narrowPeak	Breast	91
GSM1534737	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534737_FOXA1_peaks.narrowPeak	Breast	91
GSM1534738	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534738_FOXA1_peaks.narrowPeak	Breast	91
GSM1534739	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534739_FOXA1_peaks.narrowPeak	Breast	91
GSM1534740	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534740_FOXA1_peaks.narrowPeak	Breast	91
GSM1534741	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534741_FOXA1_peaks.narrowPeak	Breast	91
GSM1534742	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534742_FOXA1_peaks.narrowPeak	Breast	91
GSM1534743	FOXA1	BREAST	MCF-7	PRJNA255509_GSM1534743_FOXA1_peaks.narrowPeak	Breast	91
GSM804013	GATA1	BLOOD	PBMC	PRJNA147759_GSM804013_GATA1_peaks.narrowPeak	PBMC	92
GSM804014	GATA1	BLOOD	PBMC	PRJNA147759_GSM804014_GATA1_peaks.narrowPeak	PBMC	92
GSM837986	GATA3	BLOOD	CCRF-CEM	PRJNA148179_GSM837986_GATA3_peaks.narrowPeak	T cell	93
GSM837994	RUNX1	BLOOD	CCRF-CEM	PRJNA148179_GSM837994_RUNX1_peaks.narrowPeak	T cell	94
GSM837995	RUNX1	BLOOD	CCRF-CEM	PRJNA148179_GSM837995_RUNX1_peaks.narrowPeak	T cell	94
GSM838675	ATF3	NEURAL	GBM1-HAM	PRJNA148249_GSM838675_ATF3_peaks.narrowPeak	Brain	95
GSM838400	RUNX2	PROSTATE	C4-2	PRJNA148325_GSM838400_RUNX2_peaks.narrowPeak	Prostate	96
GSM856791	ARNT	KIDNEY	786-O	PRJNA150099_GSM856791_ARNT_peaks.narrowPeak	Kidney Clear Cell	97
GSM894058	MYC	BLOOD	P493-6	PRJNA153317_GSM894058_MYC_peaks.narrowPeak	B cell	98
GSM894059	MYC	BLOOD	P493-6	PRJNA153317_GSM894059_MYC_peaks.narrowPeak	B cell	98
GSM894060	MYC	BLOOD	P493-6	PRJNA153317_GSM894060_MYC_peaks.narrowPeak	B cell	98
GSM1036404	MYC	BLOOD	P493-6	PRJNA179481_GSM1036404_MYC_peaks.narrowPeak	B cell	98
GSM1234499	MYC	BLOOD	P493-6	PRJNA219504_GSM1234499_MYC_peaks.narrowPeak	B cell	98
GSM1234500	MYC	BLOOD	P493-6	PRJNA219504_GSM1234500_MYC_peaks.narrowPeak	B cell	98
GSM1234501	MYC	BLOOD	P493-6	PRJNA219504_GSM1234501_MYC_peaks.narrowPeak	B cell	98
GSM1386342	MYC	BLOOD	P493-6	PRJNA219504_GSM1386342_MYC_peaks.narrowPeak	B cell	98
GSM1386343	MYC	BLOOD	P493-6	PRJNA219504_GSM1386343_MYC_peaks.narrowPeak	B cell	98
GSM894061	MYC	NEURAL	U-87 MG	PRJNA153317_GSM894061_MYC_peaks.narrowPeak	Brain	99
GSM894074	MAX	BLOOD	P493-6	PRJNA153317_GSM894074_MAX_peaks.narrowPeak	B cell	100
GSM894075	MAX	BLOOD	P493-6	PRJNA153317_GSM894075_MAX_peaks.narrowPeak	B cell	100
GSM894076	MAX	BLOOD	P493-6	PRJNA153317_GSM894076_MAX_peaks.narrowPeak	B cell	100
GSM1036406	MAX	BLOOD	P493-6	PRJNA179481_GSM1036406_MAX_peaks.narrowPeak	B cell	100
GSM894077	MAX	NEURAL	U-87 MG	PRJNA153317_GSM894077_MAX_peaks.narrowPeak	Brain	101
GSM894085	MAX	BLOOD	Multiple Myeloma	PRJNA153317_GSM894085_MAX_peaks.narrowPeak	Multiple Myeloma	102
GSM894098	MYC	LUNG	NCI-H128	PRJNA153317_GSM894098_MYC_peaks.narrowPeak	Lung	103
GSM1008619	MYC	LUNG	NCI-H128	PRJNA175830_GSM1008619_MYC_peaks.narrowPeak	Lung	103
GSM894099	MAX	LUNG	NCI-H128	PRJNA153317_GSM894099_MAX_peaks.narrowPeak	Lung	104
GSM1008618	MAX	LUNG	NCI-H128	PRJNA175830_GSM1008618_MAX_peaks.narrowPeak	Lung	104
GSM894102	MYC	LUNG	NCI-H2171	PRJNA153317_GSM894102_MYC_peaks.narrowPeak	Lung	105
GSM1008620	MYC	LUNG	NCI-H2171	PRJNA175830_GSM1008620_MYC_peaks.narrowPeak	Lung	105
GSM894103	MAX	LUNG	NCI-H2171	PRJNA153317_GSM894103_MAX_peaks.narrowPeak	Lung	106
GSM1008617	MAX	LUNG	NCI-H2171	PRJNA175830_GSM1008617_MAX_peaks.narrowPeak	Lung	106
GSM894108	MYC	BLOOD	Multiple Myeloma	PRJNA153317_GSM894108_MYC_peaks.narrowPeak	Multiple Myeloma	107
GSM1000576	MYC	FIBROBLAST	BJ	PRJNA153727_GSM1000576_MYC_peaks.narrowPeak	Fibroblast	108
GSM896988	MYC	FIBROBLAST	BJ	PRJNA153727_GSM896988_MYC_peaks.narrowPeak	Fibroblast	108
GSM896986	SOX2	FIBROBLAST	BJ	PRJNA153727_GSM896986_SOX2_peaks.narrowPeak	Fibroblast	109
GSM896987	KLF4	FIBROBLAST	BJ	PRJNA153727_GSM896987_KLF4_peaks.narrowPeak	Fibroblast	110
GSM779432	GABPA	CERVIX	HeLa	PRJNA154023_GSM779432_GABPA_peaks.narrowPeak	Cervix	111
GSM803454	GABPA	CERVIX	HeLa	PRJNA63447_GSM803454_GABPA_peaks.narrowPeak	Cervix	111
GSM768310	FOXP1	STEMCELL	hESC H9	PRJNA154619_GSM768310_FOXP1_peaks.narrowPeak	Stem cell	112
GSM768311	FOXP1	STEMCELL	hESC H9	PRJNA154619_GSM768311_FOXP1_peaks.narrowPeak	Stem cell	112
GSM801056	ESR1	BREAST	H3396	PRJNA154905_GSM801056_ESR1_peaks.narrowPeak	Breast	113
GSM801057	ESR1	BREAST	H3396	PRJNA154905_GSM801057_ESR1_peaks.narrowPeak	Breast	113
GSM743039	CDX2	GI	COLO 320	PRJNA155363_GSM743039_CDX2_peaks.narrowPeak	Colon	114
GSM743040	CDX2	GI	COLO 320	PRJNA155363_GSM743040_CDX2_peaks.narrowPeak	Colon	114
GSM989353	PBX1	BREAST	MCF-7-LTED	PRJNA159579_GSM989353_PBX1_peaks.narrowPeak	Breast	115
GSM934612	VDR	LIVER	LX2	PRJNA167284_GSM934612_VDR_peaks.narrowPeak	Liver	116
GSM934614	VDR	LIVER	LX2	PRJNA167284_GSM934614_VDR_peaks.narrowPeak	Liver	116
GSM934617	VDR	LIVER	LX2	PRJNA167284_GSM934617_VDR_peaks.narrowPeak	Liver	116
GSM934618	VDR	LIVER	LX2	PRJNA167284_GSM934618_VDR_peaks.narrowPeak	Liver	116
GSM934615	SMAD3	LIVER	LX2	PRJNA167284_GSM934615_SMAD3_peaks.narrowPeak	Liver	117
GSM934616	SMAD3	LIVER	LX2	PRJNA167284_GSM934616_SMAD3_peaks.narrowPeak	Liver	117
GSM941710	CTCF	BLOOD	BCBL1	PRJNA167828_GSM941710_CTCF_peaks.narrowPeak	B cell	118
GSM945598	IRF5	BLOOD	PBMC	PRJNA168219_GSM945598_IRF5_peaks.narrowPeak	PBMC	119
GSM945599	IRF5	BLOOD	PBMC	PRJNA168219_GSM945599_IRF5_peaks.narrowPeak	PBMC	119
GSM945600	IRF5	BLOOD	PBMC	PRJNA168219_GSM945600_IRF5_peaks.narrowPeak	PBMC	119
GSM945601	IRF5	BLOOD	PBMC	PRJNA168219_GSM945601_IRF5_peaks.narrowPeak	PBMC	119
GSM945602	IRF5	BLOOD	PBMC	PRJNA168219_GSM945602_IRF5_peaks.narrowPeak	PBMC	119
GSM945603	IRF5	BLOOD	PBMC	PRJNA168219_GSM945603_IRF5_peaks.narrowPeak	PBMC	119
GSM945604	IRF5	BLOOD	PBMC	PRJNA168219_GSM945604_IRF5_peaks.narrowPeak	PBMC	119
GSM945605	IRF5	BLOOD	PBMC	PRJNA168219_GSM945605_IRF5_peaks.narrowPeak	PBMC	119
GSM945606	STAT4	BLOOD	PBMC	PRJNA168219_GSM945606_STAT4_peaks.narrowPeak	PBMC	120
GSM945607	STAT4	BLOOD	PBMC	PRJNA168219_GSM945607_STAT4_peaks.narrowPeak	PBMC	120
GSM945608	STAT4	BLOOD	PBMC	PRJNA168219_GSM945608_STAT4_peaks.narrowPeak	PBMC	120
GSM945609	STAT4	BLOOD	PBMC	PRJNA168219_GSM945609_STAT4_peaks.narrowPeak	PBMC	120
GSM945610	STAT4	BLOOD	PBMC	PRJNA168219_GSM945610_STAT4_peaks.narrowPeak	PBMC	120
GSM945611	STAT4	BLOOD	PBMC	PRJNA168219_GSM945611_STAT4_peaks.narrowPeak	PBMC	120
GSM945612	STAT4	BLOOD	PBMC	PRJNA168219_GSM945612_STAT4_peaks.narrowPeak	PBMC	120
GSM951849	HSF1	BREAST	HMEC	PRJNA169333_GSM951849_HSF1_peaks.narrowPeak	Breast	121
GSM951853	HSF1	BREAST	HMEC	PRJNA169333_GSM951853_HSF1_peaks.narrowPeak	Breast	121
GSM951898	HSF1	BREAST	HMEC	PRJNA169333_GSM951898_HSF1_peaks.narrowPeak	Breast	121
GSM951855	HSF1	BREAST	BPE	PRJNA169333_GSM951855_HSF1_peaks.narrowPeak	Breast	122
GSM951897	HSF1	BREAST	BPE	PRJNA169333_GSM951897_HSF1_peaks.narrowPeak	Breast	122
GSM951859	HSF1	BREAST	BPLER	PRJNA169333_GSM951859_HSF1_peaks.narrowPeak	Breast	123
GSM951861	HSF1	BREAST	MCF 10A	PRJNA169333_GSM951861_HSF1_peaks.narrowPeak	Breast	124
GSM951862	HSF1	BREAST	MCF 10A	PRJNA169333_GSM951862_HSF1_peaks.narrowPeak	Breast	124
GSM951864	HSF1	BREAST	MCF 10A	PRJNA169333_GSM951864_HSF1_peaks.narrowPeak	Breast	124
GSM951865	HSF1	BREAST	MCF 10A	PRJNA169333_GSM951865_HSF1_peaks.narrowPeak	Breast	124
GSM951867	HSF1	LUNG	NCI-H1703	PRJNA169333_GSM951867_HSF1_peaks.narrowPeak	Lung	125
GSM951868	HSF1	LUNG	NCI-H1703	PRJNA169333_GSM951868_HSF1_peaks.narrowPeak	Lung	125
GSM951870	HSF1	BREAST	ZR-75-1	PRJNA169333_GSM951870_HSF1_peaks.narrowPeak	Breast	126
GSM951871	HSF1	BREAST	ZR-75-1	PRJNA169333_GSM951871_HSF1_peaks.narrowPeak	Breast	126
GSM951876	HSF1	GI	HCT-15	PRJNA169333_GSM951876_HSF1_peaks.narrowPeak	Colon	127
GSM951877	HSF1	GI	HCT-15	PRJNA169333_GSM951877_HSF1_peaks.narrowPeak	Colon	127
GSM951879	HSF1	GI	HT-29	PRJNA169333_GSM951879_HSF1_peaks.narrowPeak	Colon	128
GSM951880	HSF1	GI	HT-29	PRJNA169333_GSM951880_HSF1_peaks.narrowPeak	Colon	128
GSM951882	HSF1	BREAST	MCF-7	PRJNA169333_GSM951882_HSF1_peaks.narrowPeak	Breast	129
GSM951883	HSF1	BREAST	MCF-7	PRJNA169333_GSM951883_HSF1_peaks.narrowPeak	Breast	129
GSM1116653	HSF1	BREAST	MCF-7	PRJNA196591_GSM1116653_HSF1_peaks.narrowPeak	Breast	129
GSM1116654	HSF1	BREAST	MCF-7	PRJNA196591_GSM1116654_HSF1_peaks.narrowPeak	Breast	129
GSM1116658	HSF1	BREAST	MCF-7	PRJNA196591_GSM1116658_HSF1_peaks.narrowPeak	Breast	129
GSM1116659	HSF1	BREAST	MCF-7	PRJNA196591_GSM1116659_HSF1_peaks.narrowPeak	Breast	129
GSM951885	HSF1	LUNG	NCI-H441	PRJNA169333_GSM951885_HSF1_peaks.narrowPeak	Lung	130
GSM951886	HSF1	LUNG	NCI-H441	PRJNA169333_GSM951886_HSF1_peaks.narrowPeak	Lung	130
GSM951888	HSF1	BREAST	SK-BR-3	PRJNA169333_GSM951888_HSF1_peaks.narrowPeak	Breast	131
GSM951889	HSF1	BREAST	SK-BR-3	PRJNA169333_GSM951889_HSF1_peaks.narrowPeak	Breast	131
GSM951891	HSF1	LUNG	NCI-H838	PRJNA169333_GSM951891_HSF1_peaks.narrowPeak	Lung	132
GSM951892	HSF1	LUNG	NCI-H838	PRJNA169333_GSM951892_HSF1_peaks.narrowPeak	Lung	132
GSM951894	HSF1	BREAST	BT-20	PRJNA169333_GSM951894_HSF1_peaks.narrowPeak	Breast	133
GSM951895	HSF1	BREAST	BT-20	PRJNA169333_GSM951895_HSF1_peaks.narrowPeak	Breast	133
GSM951900	HSF1	BREAST	Breast cancer cells	PRJNA169333_GSM951900_HSF1_peaks.narrowPeak	Breast	134
GSM951901	HSF1	BREAST	Breast cancer cells	PRJNA169333_GSM951901_HSF1_peaks.narrowPeak	Breast	134
GSM951903	HSF1	BREAST	Breast cancer cells	PRJNA169333_GSM951903_HSF1_peaks.narrowPeak	Breast	134
GSM951904	HSF1	BREAST	Breast cancer cells	PRJNA169333_GSM951904_HSF1_peaks.narrowPeak	Breast	134
GSM951906	HSF1	GI	Colon cancer	PRJNA169333_GSM951906_HSF1_peaks.narrowPeak	Colon	135
GSM951907	HSF1	GI	Colon cancer	PRJNA169333_GSM951907_HSF1_peaks.narrowPeak	Colon	135
GSM951909	HSF1	GI	Colon cancer	PRJNA169333_GSM951909_HSF1_peaks.narrowPeak	Colon	135
GSM951910	HSF1	GI	Colon cancer	PRJNA169333_GSM951910_HSF1_peaks.narrowPeak	Colon	135
GSM955977	HIF1A	VASCULAR	HUVEC	PRJNA169935_GSM955977_HIF1A_peaks.narrowPeak	Endothelial	136
GSM955978	HIF1A	VASCULAR	HUVEC	PRJNA169935_GSM955978_HIF1A_peaks.narrowPeak	Endothelial	136
GSM957608	GATA3	BLOOD	RPMI 8402	PRJNA170151_GSM957608_GATA3_peaks.narrowPeak	T cell	137
GSM957609	GATA3	BLOOD	RPMI 8402	PRJNA170151_GSM957609_GATA3_peaks.narrowPeak	T cell	137
GSM958752	FOXA1	LIVER	HuH-7	PRJNA170314_GSM958752_FOXA1_peaks.narrowPeak	Liver	138
GSM958753	FOXA1	LIVER	HuH-7	PRJNA170314_GSM958753_FOXA1_peaks.narrowPeak	Liver	138
GSM958754	FOXA1	LIVER	HuH-7	PRJNA170314_GSM958754_FOXA1_peaks.narrowPeak	Liver	138
GSM958755	FOXA1	LIVER	HuH-7	PRJNA170314_GSM958755_FOXA1_peaks.narrowPeak	Liver	138
GSM958756	FOXA1	LIVER	HuH-7	PRJNA170314_GSM958756_FOXA1_peaks.narrowPeak	Liver	138
GSM958757	FOXA1	LIVER	HuH-7	PRJNA170314_GSM958757_FOXA1_peaks.narrowPeak	Liver	138
GSM983105	FOXA1	LUNG	NCI-H3122	PRJNA172254_GSM983105_FOXA1_peaks.narrowPeak	Lung	139
GSM984391	FOXA1	PROSTATE	C4-2	PRJNA172760_GSM984391_FOXA1_peaks.narrowPeak	Prostate	140
GSM984392	FOXA1	PROSTATE	C4-2	PRJNA172760_GSM984392_FOXA1_peaks.narrowPeak	Prostate	140
GSM986067	GATA3	BREAST	MCF-7	PRJNA172877_GSM986067_GATA3_peaks.narrowPeak	Breast	141
GSM986068	GATA3	BREAST	MCF-7	PRJNA172877_GSM986068_GATA3_peaks.narrowPeak	Breast	141
GSM986070	GATA3	BREAST	MCF-7	PRJNA172877_GSM986070_GATA3_peaks.narrowPeak	Breast	141
GSM986071	GATA3	BREAST	MCF-7	PRJNA172877_GSM986071_GATA3_peaks.narrowPeak	Breast	141
GSM986072	GATA3	BREAST	MCF-7	PRJNA172877_GSM986072_GATA3_peaks.narrowPeak	Breast	141
GSM1241752	GATA3	BREAST	MCF-7	PRJNA222284_GSM1241752_GATA3_peaks.narrowPeak	Breast	141
GSM1241756	GATA3	BREAST	MCF-7	PRJNA222284_GSM1241756_GATA3_peaks.narrowPeak	Breast	141
GSM1010783	GATA3	BREAST	MCF-7	PRJNA63447_GSM1010783_GATA3_peaks.narrowPeak	Breast	141
GSM825711	GATA3	BREAST	MCF-7	PRJNA63447_GSM825711_GATA3_peaks.narrowPeak	Breast	141
GSM935445	GATA3	BREAST	MCF-7	PRJNA63447_GSM935445_GATA3_peaks.narrowPeak	Breast	141
GSM991659	E2F7	FIBROBLAST	IMR-90	PRJNA173795_GSM991659_E2F7_peaks.narrowPeak	Lung	142
GSM991660	E2F7	FIBROBLAST	IMR-90	PRJNA173795_GSM991660_E2F7_peaks.narrowPeak	Lung	142
GSM991661	E2F7	FIBROBLAST	IMR-90	PRJNA173795_GSM991661_E2F7_peaks.narrowPeak	Lung	142
GSM991662	E2F7	FIBROBLAST	IMR-90	PRJNA173795_GSM991662_E2F7_peaks.narrowPeak	Lung	142
GSM991663	E2F7	FIBROBLAST	IMR-90	PRJNA173795_GSM991663_E2F7_peaks.narrowPeak	Lung	142
GSM1007997	CTCF	FIBROBLAST	WI-38	PRJNA175631_GSM1007997_CTCF_peaks.narrowPeak	Lung	143
GSM1007998	CTCF	FIBROBLAST	WI-38	PRJNA175631_GSM1007998_CTCF_peaks.narrowPeak	Lung	143
GSM1022634	CTCF	FIBROBLAST	WI-38	PRJNA63447_GSM1022634_CTCF_peaks.narrowPeak	Lung	143
GSM1022637	CTCF	FIBROBLAST	WI-38	PRJNA63447_GSM1022637_CTCF_peaks.narrowPeak	Lung	143
GSM1009647	ETS1	VASCULAR	HUVEC	PRJNA176027_GSM1009647_ETS1_peaks.narrowPeak	Endothelial	144
GSM1009648	ETS1	VASCULAR	HUVEC	PRJNA176027_GSM1009648_ETS1_peaks.narrowPeak	Endothelial	144
GSM1009649	ETS1	VASCULAR	HUVEC	PRJNA176027_GSM1009649_ETS1_peaks.narrowPeak	Endothelial	144
GSM1009650	ETS1	VASCULAR	HUVEC	PRJNA176027_GSM1009650_ETS1_peaks.narrowPeak	Endothelial	144
GSM1019122	E2F4	BREAST	MCF-7	PRJNA177430_GSM1019122_E2F4_peaks.narrowPeak	Breast	145
GSM1019123	E2F4	BREAST	MCF-7	PRJNA177430_GSM1019123_E2F4_peaks.narrowPeak	Breast	145
GSM1019134	KLF4	BREAST	MCF-7	PRJNA177430_GSM1019134_KLF4_peaks.narrowPeak	Breast	146
GSM1019136	RXRA	BREAST	MCF-7	PRJNA177430_GSM1019136_RXRA_peaks.narrowPeak	Breast	147
GSM1020364	CEBPA	ADIPOCYTE	SGBS	PRJNA177774_GSM1020364_CEBPA_peaks.narrowPeak	Adipocytes	148
GSM1024800	ARNT	BREAST	MCF-7	PRJNA178231_GSM1024800_ARNT_peaks.narrowPeak	Breast	149
GSM1032075	RUNX1	BLOOD	SEM	PRJNA179081_GSM1032075_RUNX1_peaks.narrowPeak	B cell	150
GSM1033754	MYC	BLOOD	Plasma Cells	PRJNA179218_GSM1033754_MYC_peaks.narrowPeak	Plasma	151
GSM1033759	MAX	BLOOD	Plasma Cells	PRJNA179218_GSM1033759_MAX_peaks.narrowPeak	Plasma	152
GSM1045363	RUNX1	BLOOD	Jurkat	PRJNA182318_GSM1045363_RUNX1_peaks.narrowPeak	T cell	153
GSM1055825	CTCF	FIBROBLAST	Lung fibroblasts	PRJNA184350_GSM1055825_CTCF_peaks.narrowPeak	Fibroblast	154
GSM1057372	ZFX	BLOOD	NOMO-1	PRJNA184723_GSM1057372_ZFX_peaks.narrowPeak	Monocyte	155
GSM1057374	ZFX	BLOOD	RPMI 8402	PRJNA184723_GSM1057374_ZFX_peaks.narrowPeak	T cell	156
GSM1057010	STAT1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057010_STAT1_peaks.narrowPeak	Monocyte	157
GSM1057011	STAT1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057011_STAT1_peaks.narrowPeak	Monocyte	157
GSM1057012	STAT1	BLOOD	Monocytes-CD14+	PRJNA184728_GSM1057012_STAT1_peaks.narrowPeak	Monocyte	157
